"GeneID"	"N4wkWT1"	"N4wkWT2"	"N4wkWT3"	"N4wkWT4"	"N4wkWT5"	"N8wkWT1"	"N8wkWT2"	"N8wkWT3"	"N8wkWT4"	"N8wkWT5"	"N12wkWT1"	"N12wkWT2"	"N12wkWT3"	"N12wkWT4"	"N12wkWT5"	"N16wkWT1"	"N16wkWT2"	"N16wkWT3"	"N16wkWT4"	"N16wkWT5"	"N20wkWT1"	"N20wkWT2"	"N20wkWT3"	"N20wkWT4"	"N20wkWT5"
29595	30.285515	12.40566	28.69372	16.683225	15.88005	11.11489	15.393035	22.20675	21.916385	25.94216	31.014595	26.510765	14.622073	17.25373	15.30858	23.68399	20.23171	25.785235	18.2295045	23.485435	34.01387	18.31576	16.0397	23.99643	18.044175
85426	9.47174	7.87413	9.9884	8.50417	4.59889	9.43725	9.26895	15.993	9.62255	1.09944	6.29119	14.8308	15.8117	10.2896	6.23885	12.4731	9.55153	14.4997	10.4517	10.8481	24.627	9.71224	12.1904	8.65158	12.7131
304666	19.3779	15.756	15.0386	8.43182	10.4245	5.69573	3.28136	2.49976	2.15668	4.37928	3.80289	13.9961	3.57399	13.4472	3.21477	4.44709	3.94068	2.30185	2.43709	2.46397	2.70402	2.52576	2.44333	1.99321	2.29629
114628	252.967	349.069	550.889	512.795	661.334	108.525	262.392	70.072	61.1235	60.5387	72.0939	20.2247	19.9137	23.278	45.6664	14.4517	16.5113	41.2281	46.8263	64.8961	59.3625	35.2816	31.5493	33.2458	45.521
363447	1156.94	1218.95	1203.96	1120.49	995.735	862.058	916.053	629.061	796.527	722.52	636.105	553.681	707.847	763.037	679.988	496.693	529.44	579.032	525	571.094	538.549	561.32	598.676	637.228	614.647
315216	109.972	71.6915	96.016	87.5686	91.9967	99.0954	73.0184	111.278	121.953	109.86	143.373	71.5226	103.099	93.7279	105.369	98.0808	99.6732	123.664	86.6988	97.0994	123.641	109.384	80.1009	108.678	118.021
311671	312.306	283.875	311.344	310.477	320.168	226.842	192.247	195.631	243.808	169.16	233.07	246.367	251.145	211.558	237.352	208.308	256.582	207.712	248.044	234.11	243.635	238.075	221.427	230.059	229.867
363219	91.0777	88.0385	106.647	77.182	74.791	97.2266	124.599	101.818	109.454	113.885	87.4364	107.255	82.8832	90.6266	83.2337	101.582	73.5457	78.2314	86.5201	91.097	114.657	97.8904	87.9566	74.711	89.2499
360503	75.8433	89.1603	104.5361	87.65926667	99.18416667	116.0241667	101.5685	129.0086667	106.3967	135.5412	123.0862	113.6686667	100.3980667	91.93286667	89.97256667	105.8265667	91.64406667	97.95253333	95.90296667	114.2930333	122.6796	99.03556667	124.9943333	88.07356667	103.1318333
293671	293.6905	230.2135	270.8505	286.1454	270.0185	240.41315	258.1969	230.44	241.7515	226.69	247.109	243.95045	214.67255	222.571	216.54835	232.9315	236.2291	228.1983	242.2225	254.4321	190.862	273.402	246.8445	238.57055	233.51905
