"id"	"X66_D0"	"X68_D0"	"X69_D0"	"X66_D4"	"X68_D4"	"X69_D4"	"X66_D7"	"X68_D7"	"X69_D7"	"X66_D28"	"X68_D28"	"X69_D28"
"ENSMMUG00000000362"	42	42	38	32	51	38	14	10	12	31	21	13
"ENSMMUG00000000364"	365	194	285	494	407	365	245	176	287	586	564	262
"ENSMMUG00000000366"	2229	1022	1177	6361	3772	5642	3600	3327	7642	2870	3170	983
"ENSMMUG00000000368"	5	8	5	9	8	4	10	14	19	8	9	4
"ENSMMUG00000000369"	3	5	2	11	7	2	13	26	42	0	1	0
"ENSMMUG00000000371"	1	0	0	0	0	0	1	2	1	0	0	0
"ENSMMUG00000000372"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000373"	118	49	106	83	73	100	301	293	608	110	105	127
"ENSMMUG00000000375"	1	0	2	4	3	9	5	8	13	2	1	3
"ENSMMUG00000000376"	614	385	494	263	236	292	175	127	162	656	1039	276
"ENSMMUG00000000377"	948	440	376	2301	1485	2087	923	835	814	337	255	208
"ENSMMUG00000000378"	38	88	130	839	600	1048	568	175	515	26	140	34
"ENSMMUG00000000379"	0	0	0	0	0	0	0	0	1	0	0	0
"ENSMMUG00000000380"	690	350	783	530	617	555	438	362	519	617	625	338
"ENSMMUG00000000381"	654	410	739	501	270	254	424	237	317	574	1234	347
"ENSMMUG00000000382"	61	54	94	41	28	17	26	22	13	54	64	34
"ENSMMUG00000000383"	470	180	211	131	179	227	170	198	257	410	360	156
"ENSMMUG00000000384"	6	0	5	2	0	0	1	0	0	1	0	2
"ENSMMUG00000000386"	486	404	629	420	446	513	143	92	107	401	421	251
"ENSMMUG00000000387"	1806	1431	1518	1827	1556	1490	536	244	310	1663	2300	689
"ENSMMUG00000000388"	1351	337	1016	1243	1460	2598	2160	2609	2712	1486	1091	518
"ENSMMUG00000000389"	176	94	193	132	124	97	197	224	190	141	130	92
"ENSMMUG00000000390"	193	105	207	148	125	132	39	30	20	102	193	49
